episode,reward,epsilon
1,-2.9337500000000003,0.5
2,-2.941250000000001,0.4975
3,-3.046250000000001,0.4950125
4,-3.137500000000001,0.4925374375
5,-2.9200000000000004,0.49007475031250003
6,-2.9137500000000003,0.48762437656093754
7,-3.0325000000000006,0.48518625467813287
8,-3.082500000000001,0.4827603234047422
9,-2.993750000000001,0.4803465217877185
10,-2.99875,0.47794478917877986
11,-2.9375000000000004,0.47555506523288593
12,-3.1187500000000012,0.4731772899067215
13,-3.0337500000000013,0.47081140345718786
14,-3.0425,0.46845734643990194
15,-3.1112500000000005,0.46611505970770245
16,-2.9762500000000007,0.4637844844091639
17,-2.9025000000000007,0.4614655619871181
18,-2.9612500000000006,0.4591582341771825
19,-2.9562500000000007,0.4568624430062966
20,-3.2125000000000004,0.4545781307912651
21,-2.9537500000000008,0.4523052401373088
22,-2.81125,0.45004371393662224
23,-2.8987500000000006,0.44779349536693913
24,0.39874999999999994,0.4455545278901044
25,-3.0200000000000005,0.4433267552506539
26,-2.937500000000001,0.44111012147440065
27,-2.8075,0.43890457086702866
28,-0.7887500000000001,0.43671004801269353
29,-3.02375,0.4345264977726301
30,-3.2000000000000006,0.4323538652837669
31,-2.995,0.4301920959573481
32,-2.9625,0.42804113547756134
33,-3.0275000000000016,0.4259009298001735
34,-2.8675000000000006,0.42377142515117266
35,-2.8975000000000013,0.4216525680254168
36,-2.9274999999999993,0.4195443051852897
37,-3.120000000000001,0.4174465836593632
38,1.30875,0.4153593507410664
39,-3.1062500000000006,0.4132825539873611
40,-3.0650000000000004,0.4112161412174243
41,-3.0275000000000007,0.40916006051133713
42,-3.0275000000000007,0.40711426020878044
43,-2.84875,0.4050786889077365
44,0.7999999999999999,0.40305329546319785
45,-3.0175000000000005,0.40103802898588187
46,-2.887500000000001,0.3990328388409525
47,-2.8987500000000006,0.3970376746467477
48,-2.9375000000000004,0.39505248627351397
49,-2.6787500000000004,0.3930772238421464
50,-3.0462499999999997,0.3911118377229357
51,-3.0337500000000013,0.389156278534321
52,-3.0600000000000014,0.3872104971416494
53,-2.811250000000001,0.38527444465594113
54,-1.1787500000000006,0.38334807243266145
55,-3.053750000000001,0.3814313320704981
56,-2.9874999999999994,0.3795241754101456
57,-2.68,0.37762655453309485
58,-0.9924999999999995,0.3757384217604294
59,-3.216250000000002,0.3738597296516272
60,-2.89875,0.3719904310033691
61,-3.1300000000000012,0.37013047884835226
62,-2.81625,0.3682798264541105
63,-2.796250000000001,0.36643842732183995
64,-2.836250000000001,0.3646062351852308
65,-2.8775000000000004,0.36278320400930464
66,-2.8837500000000005,0.3609692879892581
67,-2.8550000000000004,0.3591644415493118
68,-2.6799999999999997,0.3573686193415653
69,-2.978750000000001,0.35558177624485743
70,-2.995000000000001,0.3538038673636331
71,-2.8287500000000008,0.35203484802681495
72,-3.3437500000000018,0.35027467378668087
73,-3.038749999999999,0.3485233004177475
74,1.50875,0.34678068391565875
75,-2.823750000000001,0.34504678049608045
76,-2.8850000000000007,0.34332154659360004
77,-0.31749999999999945,0.34160493886063203
78,-2.9375000000000004,0.3398969141663289
79,-2.9225000000000017,0.33819742959549726
