episode,reward,epsilon
1,-2.892500000000001,0.5
2,-3.0162500000000003,0.4975
3,-3.091250000000001,0.4950125
4,-3.1525000000000003,0.4925374375
5,-3.00875,0.49007475031250003
6,-3.0874999999999995,0.48762437656093754
7,-3.0437500000000006,0.48518625467813287
8,-3.0025000000000004,0.4827603234047422
9,-2.948750000000001,0.4803465217877185
10,-3.0487500000000005,0.47794478917877986
11,-2.9262500000000005,0.47555506523288593
12,-2.9575,0.4731772899067215
13,-3.04375,0.47081140345718786
14,-3.1750000000000003,0.46845734643990194
15,-2.9025000000000003,0.46611505970770245
16,-3.0312500000000004,0.4637844844091639
17,-2.980000000000001,0.4614655619871181
18,-3.266250000000001,0.4591582341771825
19,-3.100000000000001,0.4568624430062966
20,-2.9875000000000016,0.4545781307912651
21,-2.9150000000000005,0.4523052401373088
22,-3.1362500000000004,0.45004371393662224
23,-3.0200000000000005,0.44779349536693913
24,-2.9875000000000007,0.4455545278901044
25,-1.1800000000000002,0.4433267552506539
26,-3.0100000000000002,0.44111012147440065
27,-3.148750000000001,0.43890457086702866
28,-3.062500000000001,0.43671004801269353
29,-3.0725000000000002,0.4345264977726301
30,-2.896250000000001,0.4323538652837669
31,-2.8162500000000006,0.4301920959573481
32,-2.9325000000000006,0.42804113547756134
33,-3.116250000000001,0.4259009298001735
34,-2.905,0.42377142515117266
35,-3.068750000000001,0.4216525680254168
36,1.2625000000000002,0.4195443051852897
37,-3.0437500000000006,0.4174465836593632
38,-2.8087500000000007,0.4153593507410664
39,-3.040000000000001,0.4132825539873611
40,-3.0587500000000007,0.4112161412174243
41,-2.971250000000001,0.40916006051133713
42,-2.7900000000000005,0.40711426020878044
43,-2.916250000000001,0.4050786889077365
44,-2.9225000000000008,0.40305329546319785
45,-3.020000000000001,0.40103802898588187
46,-3.1400000000000006,0.3990328388409525
47,-3.1100000000000008,0.3970376746467477
48,-2.897500000000001,0.39505248627351397
49,-2.938750000000001,0.3930772238421464
50,-2.9274999999999998,0.3911118377229357
51,-2.900000000000001,0.389156278534321
52,-2.9037500000000005,0.3872104971416494
53,-2.982500000000001,0.38527444465594113
54,-2.996250000000001,0.38334807243266145
55,-2.866250000000001,0.3814313320704981
56,-2.9275000000000015,0.3795241754101456
57,0.21750000000000025,0.37762655453309485
58,-2.7800000000000007,0.3757384217604294
59,-2.847500000000001,0.3738597296516272
60,-3.0300000000000007,0.3719904310033691
61,-2.837500000000001,0.37013047884835226
62,-2.9200000000000004,0.3682798264541105
63,-2.91875,0.36643842732183995
64,-2.8100000000000005,0.3646062351852308
65,-2.8412500000000005,0.36278320400930464
66,-2.8087500000000016,0.3609692879892581
67,-2.9650000000000007,0.3591644415493118
68,-2.7612500000000004,0.3573686193415653
69,-3.0087500000000005,0.35558177624485743
70,-2.9000000000000004,0.3538038673636331
71,-2.9662500000000005,0.35203484802681495
72,-3.050000000000001,0.35027467378668087
73,-2.9225000000000008,0.3485233004177475
74,0.1900000000000004,0.34678068391565875
75,0.8787500000000001,0.34504678049608045
76,-2.7987500000000005,0.34332154659360004
77,-3.0362500000000003,0.34160493886063203
78,-3.0125000000000006,0.3398969141663289
79,-2.8362500000000006,0.33819742959549726
80,-3.043750000000001,0.33650644244751976
81,-3.0362500000000017,0.3348239102352822
82,-2.857500000000001,0.3331497906841058
83,-3.0587500000000007,0.33148404173068524
84,-2.906250000000001,0.3298266215220318
85,-2.9162500000000007,0.3281774884144216
86,-3.073750000000001,0.3265366009723495
87,-2.9225,0.32490391796748774
88,-3.062500000000001,0.3232793983776503
89,-3.381250000000002,0.32166300138576204
90,-2.886250000000001,0.3200546863788332
91,-2.9987500000000002,0.31845441294693905
92,-2.902500000000001,0.3168621408822043
93,0.43125000000000013,0.3152778301777933
94,-2.9475000000000007,0.31370144102690434
95,-2.7187500000000004,0.3121329338217698
96,-2.963750000000001,0.31057226915266095
97,-2.872500000000001,0.30901940780689763
98,-2.775000000000001,0.30747431076786313
99,0.32499999999999973,0.3059369392140238
100,-2.93875,0.3044072545179537
101,-2.818750000000001,0.3028852182453639
102,-2.9262500000000005,0.3013707921541371
103,-2.810000000000001,0.29986393819336643
104,-2.775000000000001,0.2983646185023996
105,-2.83875,0.2968727954098876
106,-2.8600000000000008,0.29538843143283816
107,-2.952500000000001,0.29391148927567395
108,-2.9074999999999993,0.29244193182929556
109,-2.83125,0.2909797221701491
110,-0.5062499999999992,0.28952482355929837
111,0.5699999999999997,0.2880771994415019
112,-2.8737500000000007,0.28663681344429437
113,-2.8675000000000006,0.2852036293770729
114,-2.9287500000000004,0.2837776112301875
115,-2.77,0.2823587231740366
116,-2.8550000000000004,0.2809469295581664
117,-2.7350000000000008,0.2795421949103756
118,-2.9400000000000013,0.2781444839358237
119,-2.6925000000000003,0.27675376151614456
120,-2.935000000000001,0.2753699927085638
121,-2.905000000000001,0.273993142745021
122,1.555,0.2726231770312959
123,-3.193750000000001,0.27126006114613943
124,1.4225,0.26990376084040874
125,-2.8662500000000013,0.2685542420362067
126,-3.107500000000002,0.26721147082602564
127,-2.9150000000000005,0.2658754134718955
128,-3.0225000000000004,0.26454603640453606
129,-3.0375000000000005,0.2632233062225134
130,-0.9487500000000002,0.2619071896914008
131,-2.887500000000001,0.2605976537429438
132,-2.880000000000001,0.2592946654742291
133,-2.9562500000000007,0.25799819214685793
134,-2.9875000000000007,0.25670820118612364
135,-3.1825000000000014,0.255424660180193
136,-2.913750000000001,0.25414753687929204
137,-2.9800000000000013,0.2528767991948956
138,-0.5099999999999991,0.2516124151989211
139,-3.00625,0.2503543531229265
140,-2.74125,0.24910258135731184
141,-2.845,0.24785706845052527
142,-2.8400000000000007,0.24661778310827265
143,-2.865,0.2453846941927313
144,-2.7325000000000004,0.24415777072176764
145,-3.016250000000001,0.2429369818681588
146,-3.032500000000001,0.241722296958818
147,1.495,0.2405136854740239
148,-2.65,0.23931111704665378
149,-2.855,0.23811456146142052
150,0.08500000000000019,0.2369239886541134
151,-2.7325000000000004,0.23573936871084283
152,-2.9575000000000005,0.23456067186728863
153,-2.9800000000000013,0.23338786850795218
154,0.935,0.23222092916541243
155,-2.8475,0.23105982451958537
156,-2.6550000000000007,0.22990452539698744
157,-2.8537500000000007,0.2287550027700025
158,-2.83875,0.22761122775615247
159,-2.8924999999999996,0.2264731716173717
160,-2.7662500000000008,0.22534080575928486
161,-2.8400000000000007,0.22421410173048845
162,1.1475,0.223093031221836
163,-2.7987500000000005,0.2219775660657268
164,-2.8875,0.22086767823539816
165,-2.7487500000000002,0.21976333984422117
166,-2.7187500000000004,0.21866452314500007
167,-2.8837500000000014,0.21757120052927506
168,-2.8000000000000007,0.21648334452662868
169,-2.862500000000001,0.21540092780399553
170,-2.951250000000001,0.21432392316497556
171,-2.7362500000000005,0.21325230354915067
172,-2.8575000000000004,0.21218604203140493
173,-2.8925000000000005,0.2111251118212479
174,-2.8300000000000005,0.21006948626214167
175,-2.8137500000000006,0.20901913883083095
176,-2.8900000000000006,0.2079740431366768
177,-3.0487499999999996,0.20693417292099342
178,-2.8737500000000002,0.20589950205638846
179,-1.0887500000000003,0.20487000454610652
180,-2.7850000000000006,0.20384565452337597
181,-2.8287500000000008,0.20282642625075908
182,-2.971250000000001,0.2018122941195053
183,-0.11999999999999966,0.20080323264890776
184,-2.9237500000000005,0.1997992164856632
185,-2.9,0.1988002204032349
186,0.47250000000000003,0.19780621930121872
187,-2.6862500000000002,0.19681718820471264
188,-2.7250000000000005,0.19583310226368908
189,0.9825000000000002,0.19485393675237064
