episode,reward,epsilon
1,-3.108750000000001,0.5
2,-3.2987500000000014,0.499
3,-3.0087500000000005,0.498002
4,-2.9262500000000005,0.497005996
5,-2.9462500000000005,0.496011984008
6,-2.96375,0.495019960039984
7,-2.971250000000001,0.49402992011990404
8,-3.145000000000001,0.49304186027966423
9,-2.896250000000001,0.49205577655910493
10,-3.2712499999999998,0.4910716650059867
11,-3.04,0.49008952167597475
12,-3.3012500000000005,0.4891093426326228
13,-3.0237500000000015,0.4881311239473575
14,-3.025000000000001,0.4871548616994628
15,-2.9725,0.4861805519760639
16,-3.6650000000000005,0.4852081908721118
17,-3.0987500000000012,0.4842377744903676
18,-3.0225,0.48326929894138687
19,-3.0050000000000003,0.4823027603435041
20,-2.985,0.4813381548228171
21,-2.9200000000000013,0.48037547851317147
22,-2.960000000000001,0.4794147275561451
23,-2.89375,0.47845589810103284
24,-3.085000000000002,0.4774989863048308
25,-2.937500000000001,0.4765439883322211
26,-3.1037500000000007,0.4755909003555567
27,-3.031250000000001,0.47463971855484555
28,-3.1150000000000007,0.47369043911773584
29,-3.0799999999999996,0.47274305823950036
30,-2.8912500000000008,0.47179757212302137
31,-3.018750000000001,0.47085397697877535
32,-2.8587500000000006,0.4699122690248178
33,-2.9262500000000005,0.46897244448676817
34,-3.02375,0.46803449959779464
35,-2.983750000000001,0.46709843059859907
36,-2.9,0.46616423373740185
37,-3.0412500000000002,0.465231905269927
38,-2.9037500000000014,0.4643014414593872
39,-3.0850000000000013,0.4633728385764684
40,-2.9862500000000005,0.46244609289931543
41,-2.7962499999999997,0.4615212007135168
42,-3.085,0.4605981583120898
43,-2.7825,0.4596769619954656
44,-2.956250000000001,0.45875760807147464
45,-2.9087500000000004,0.45784009285533167
46,-2.935000000000001,0.456924412669621
47,-2.9362500000000007,0.4560105638442818
48,-2.8974999999999995,0.4550985427165932
49,-3.6575000000000006,0.45418834563116006
50,-3.13375,0.45327996893989775
51,-2.8749999999999996,0.45237340900201795
52,-3.0387500000000007,0.45146866218401394
53,-2.9899999999999998,0.4505657248596459
54,-2.948750000000001,0.4496645934099266
55,-2.9312499999999995,0.44876526422310675
56,-2.9025000000000007,0.44786773369466054
57,-2.7800000000000002,0.44697199822727124
58,-3.16875,0.4460780542308167
59,-2.9412500000000006,0.44518589812235504
60,-3.002500000000001,0.4442955263261103
61,-3.017500000000001,0.4434069352734581
62,-3.005,0.4425201214029112
63,-3.2112499999999997,0.44163508116010536
64,-2.948750000000001,0.44075181099778515
65,-3.0812500000000003,0.4398703073757896
66,-2.9912500000000013,0.438990566761038
67,-3.0600000000000005,0.4381125856275159
68,-2.8212500000000005,0.4372363604562609
69,-3.0287500000000005,0.4363618877353484
70,-2.9650000000000003,0.4354891639598777
71,-2.87875,0.4346181856319579
72,-3.0275000000000016,0.433748949260694
73,-2.9012500000000006,0.43288145136217265
74,-2.88625,0.4320156884594483
75,-2.9250000000000003,0.43115165708252945
76,-3.0874999999999995,0.4302893537683644
77,-3.281249999999999,0.42942877506082766
78,-2.942500000000001,0.428569917510706
79,-3.0224999999999995,0.4277127776756846
80,-2.8812500000000005,0.4268573521203332
81,-2.8162500000000006,0.42600363741609254
82,-2.9900000000000007,0.42515163014126034
83,-2.990000000000001,0.4243013268809778
84,-2.7474999999999996,0.42345272422721586
85,-2.903750000000001,0.4226058187787614
86,-3.0962500000000013,0.4217606071412039
87,1.3800000000000001,0.4209170859269215
88,-2.8962500000000015,0.42007525175506766
89,-2.9162500000000007,0.4192351012515575
90,-3.0,0.4183966310490544
91,-2.9550000000000005,0.41755983778695627
92,-3.0725000000000007,0.41672471811138234
93,-2.86625,0.4158912686751596
94,-2.9925000000000006,0.41505948613780924
95,-2.625,0.4142293671655336
96,-3.0325000000000015,0.41340090843120253
97,-2.986250000000001,0.41257410661434013
98,-3.0675000000000003,0.4117489584011115
99,-2.8712500000000003,0.4109254604843093
100,-2.9462500000000005,0.4101036095633407
101,-2.8537500000000002,0.409283402344214
102,-2.9175,0.40846483553952556
103,-3.0100000000000002,0.4076479058684465
104,-2.6537499999999996,0.4068326100567096
105,-2.9337500000000016,0.4060189448365962
106,-2.85375,0.40520690694692296
107,0.22625000000000028,0.4043964931330291
108,-2.9612500000000006,0.40358770014676304
109,-3.1312500000000014,0.4027805247464695
110,-2.9162500000000002,0.4019749636969766
111,-2.8362499999999997,0.40117101376958264
112,-2.972500000000001,0.4003686717420435
113,-3.0325000000000015,0.3995679343985594
114,-3.1787499999999995,0.3987687985297623
115,-3.0125000000000006,0.3979712609327028
116,-2.7900000000000005,0.39717531841083736
117,-3.01875,0.3963809677740157
118,0.8875000000000001,0.39558820583846765
119,-3.0100000000000007,0.39479702942679074
120,-2.9450000000000007,0.39400743536793714
121,-2.9775,0.39321942049720127
122,-2.9987500000000007,0.3924329816562069
123,-3.3962500000000015,0.3916481156928945
124,-3.3024999999999998,0.3908648194615087
125,-2.82875,0.39008308982258566
126,-3.006250000000001,0.3893029236429405
127,-3.0362499999999994,0.3885243177956546
