episode,mean_reward,std_reward,min_reward,max_reward
1,-3.0309998989105225,0.11144061386585236,-3.2225000858306885,-2.865000009536743
2,-2.7109999656677246,0.9061635136604309,-3.234999895095825,-0.023749999701976776
3,-2.7785000801086426,1.1555168628692627,-3.6475000381469727,0.6237499713897705
4,-3.083250045776367,0.16371680796146393,-3.4600000381469727,-2.8212499618530273
5,-3.0087499618530273,0.13972069323062897,-3.3212499618530273,-2.827500104904175
6,-2.977375030517578,0.10811953246593475,-3.1187500953674316,-2.7825000286102295
7,-2.977875232696533,0.07627470791339874,-3.077500104904175,-2.8262500762939453
8,-2.995375156402588,0.06866823881864548,-3.088749885559082,-2.8975000381469727
9,-3.05299973487854,0.1198282539844513,-3.3450000286102295,-2.8887500762939453
10,-3.0219998359680176,0.1289599984884262,-3.206249952316284,-2.700000047683716
11,-3.0341250896453857,0.12226258218288422,-3.2487499713897705,-2.898750066757202
12,-3.0306248664855957,0.11399181932210922,-3.172499895095825,-2.8375000953674316
13,-2.668750047683716,1.122779369354248,-3.3262500762939453,0.6800000071525574
14,-2.6292500495910645,1.1488070487976074,-3.174999952316284,0.8100000023841858
15,-3.039375066757202,0.10668330639600754,-3.182499885559082,-2.8662500381469727
16,-2.985499858856201,0.08784785121679306,-3.132499933242798,-2.815000057220459
17,-2.598875045776367,1.2884011268615723,-3.362499952316284,1.222499966621399
18,-2.803874969482422,0.7294667363166809,-3.266249895095825,-0.6362500190734863
19,-3.014500141143799,0.09668280929327011,-3.1387500762939453,-2.833750009536743
20,-2.6861250400543213,0.8717291355133057,-3.4962499141693115,-0.8949999809265137
21,-3.085749864578247,0.17959001660346985,-3.565000057220459,-2.9149999618530273
22,-2.705749988555908,0.808892548084259,-3.1362500190734863,-0.29750001430511475
23,-2.557875156402588,0.9723366498947144,-3.0199999809265137,0.34375
24,-2.459749937057495,1.137337327003479,-3.1787500381469727,0.3987500071525574
25,-2.817499876022339,0.5661075711250305,-3.3524999618530273,-1.1799999475479126
26,-2.9947502613067627,0.08400111645460129,-3.1137499809265137,-2.8424999713897705
27,-2.7548749446868896,0.8240849375724792,-3.331249952316284,-0.3162499964237213
28,-2.5053749084472656,0.8755197525024414,-3.0799999237060547,-0.737500011920929
29,-2.76550030708313,0.6623344421386719,-3.163749933242798,-0.7950000166893005
30,-3.059000015258789,0.11008915305137634,-3.200000047683716,-2.877500057220459
31,-2.8480000495910645,0.5267320275306702,-3.242500066757202,-1.315000057220459
32,-3.0147500038146973,0.07826398313045502,-3.1237499713897705,-2.8975000381469727
33,-2.994375228881836,0.10495276004076004,-3.1287500858306885,-2.8137500286102295
34,-2.766624927520752,0.6293027400970459,-3.182499885559082,-0.9049999713897705
35,-3.008124828338623,0.08298202604055405,-3.1475000381469727,-2.8837499618530273
36,-2.5486247539520264,1.2785329818725586,-3.15625,1.2625000476837158
37,-2.5421249866485596,1.2625830173492432,-3.119999885559082,1.2387499809265137
38,-2.4628751277923584,1.260900855064392,-3.0250000953674316,1.308750033378601
39,-2.710124969482422,1.013823390007019,-3.257499933242798,0.3199999928474426
40,-2.69962477684021,0.9790486693382263,-3.237499952316284,0.2199999988079071
41,-2.975749969482422,0.06835838407278061,-3.119999885559082,-2.8475000858306885
42,-2.53487491607666,1.165252923965454,-3.0924999713897705,0.9524999856948853
43,-2.934500217437744,0.08261392265558243,-3.0850000381469727,-2.827500104904175
44,-2.047374963760376,1.4622547626495361,-3.0999999046325684,0.800000011920929
45,-2.9870002269744873,0.07047649472951889,-3.0737500190734863,-2.833750009536743
46,-2.532374858856201,1.1278560161590576,-3.484999895095825,0.4025000035762787
47,-2.9936251640319824,0.08468956500291824,-3.109999895095825,-2.867500066757202
48,-2.9508750438690186,0.10437317937612534,-3.0850000381469727,-2.690000057220459
49,-2.751624822616577,0.6061631441116333,-3.091249942779541,-0.9674999713897705
50,-2.693999767303467,0.9261809587478638,-3.331249952316284,0.054999999701976776
51,-2.9214999675750732,0.13285663723945618,-3.130000114440918,-2.609999895095825
52,-2.9594998359680176,0.0661466047167778,-3.059999942779541,-2.8837499618530273
53,-2.679874897003174,0.8790620565414429,-3.336250066757202,-0.08624999970197678
54,-1.8724998235702515,1.400640606880188,-3.081249952316284,0.45375001430511475
55,-2.017500162124634,1.4967401027679443,-3.213749885559082,1.059999942779541
56,-2.3642499446868896,1.2609305381774902,-3.252500057220459,0.18250000476837158
57,-2.2673752307891846,1.3287620544433594,-3.069999933242798,0.5387499928474426
58,-2.475750207901001,0.9112951159477234,-3.109999895095825,-0.3700000047683716
59,-1.9343750476837158,1.69623601436615,-3.216249942779541,1.028749942779541
60,-2.9881250858306885,0.15262621641159058,-3.28125,-2.6987500190734863
61,-2.9982500076293945,0.11112236231565475,-3.1524999141693115,-2.836250066757202
62,-2.9267499446868896,0.14930382370948792,-3.2537500858306885,-2.6875
63,-2.970250368118286,0.10505769401788712,-3.122499942779541,-2.796250104904175
64,-2.114374876022339,1.2511154413223267,-3.069999933242798,0.1537500023841858
65,-2.979249954223633,0.11101119965314865,-3.119999885559082,-2.805000066757202
66,-2.569999933242798,1.2837163209915161,-3.351249933242798,1.252500057220459
67,-2.931375026702881,0.09068050235509872,-3.0399999618530273,-2.7174999713897705
68,-2.9241249561309814,0.22221896052360535,-3.5012500286102295,-2.680000066757202
69,-2.584249973297119,1.1581079959869385,-3.0512499809265137,0.887499988079071
70,-2.933499813079834,0.0948679968714714,-3.112499952316284,-2.817500114440918
71,-2.786875009536743,0.667081356048584,-3.578749895095825,-0.8812500238418579
72,-2.80287504196167,0.593721866607666,-3.34375,-1.0750000476837158
73,-2.9931252002716064,0.09946615993976593,-3.200000047683716,-2.8162500858306885
