episode,mean_reward,std_reward,min_reward,max_reward
1,-3.186000108718872,0.2113858461380005,-3.619999885559082,-2.9200000762939453
2,-2.9190001487731934,0.07006429135799408,-3.0199999809265137,-2.7799999713897705
3,-2.9220004081726074,0.12504400312900543,-3.180000066757202,-2.7699999809265137
4,-2.932000160217285,0.0978570505976677,-3.059999942779541,-2.7300000190734863
5,-2.932000160217285,0.10514748841524124,-3.069999933242798,-2.690000057220459
6,-2.7295002937316895,0.7854567170143127,-3.3499999046325684,-0.4050000011920929
7,-2.9539999961853027,0.08879189193248749,-3.180000066757202,-2.8499999046325684
8,-2.7294998168945312,0.5151623487472534,-3.1600000858306885,-1.215000033378601
9,-2.558500051498413,1.083817481994629,-3.1700000762939453,0.33000001311302185
10,-2.749000072479248,0.7665565609931946,-3.2699999809265137,-0.4699999988079071
11,-2.1649997234344482,1.165285348892212,-3.069999933242798,0.1550000011920929
12,-2.3589999675750732,1.3315739631652832,-3.059999942779541,1.1799999475479126
13,-2.184999942779541,1.622314691543579,-3.240000009536743,1.2799999713897705
14,-2.5160000324249268,1.0582363605499268,-3.1700000762939453,-0.25
15,-2.5195000171661377,1.3504451513290405,-3.069999933242798,1.524999976158142
16,-1.9280000925064087,1.5578176975250244,-3.069999933242798,1.1100000143051147
17,-3.053999900817871,0.1332065761089325,-3.2799999713897705,-2.890000104904175
18,-2.4850001335144043,0.9870967268943787,-3.059999942779541,-0.10499999672174454
19,-2.6024999618530273,0.8707101345062256,-3.0899999141693115,-0.004999999888241291
20,-1.8945001363754272,1.4364181756973267,-3.1700000762939453,0.7749999761581421
21,-2.6080000400543213,0.7681120038032532,-3.009999990463257,-0.3199999928474426
22,-2.922999858856201,0.1180720329284668,-3.1600000858306885,-2.7200000286102295
23,-2.4784998893737793,1.3096833229064941,-3.4600000381469727,1.0099999904632568
24,-2.993000030517578,0.12215153872966766,-3.190000057220459,-2.75
25,-2.938999891281128,0.1188654825091362,-3.130000114440918,-2.7699999809265137
26,-2.2125000953674316,1.5583633184432983,-3.140000104904175,1.4900000095367432
27,-2.7760000228881836,0.6627850532531738,-3.130000114440918,-0.8100000023841858
28,-2.7234997749328613,0.8202440142631531,-3.1700000762939453,-0.2849999964237213
29,-2.924999952316284,0.11011356860399246,-3.119999885559082,-2.7699999809265137
30,-2.504000186920166,1.2967358827590942,-3.130000114440918,1.3700000047683716
31,-2.365999937057495,1.338513731956482,-3.2200000286102295,0.5649999976158142
32,-3.00600004196167,0.15127459168434143,-3.2799999713897705,-2.740000009536743
33,-2.4644999504089355,1.2669618129730225,-3.049999952316284,1.3250000476837158
34,-2.5239999294281006,1.2297821044921875,-3.1500000953674316,1.149999976158142
35,-2.9660000801086426,0.12084703147411346,-3.2200000286102295,-2.7899999618530273
36,-2.763000011444092,0.80680912733078,-3.190000057220459,-0.36000001430511475
37,-2.421499729156494,1.0159037113189697,-3.1500000953674316,0.04500000178813934
38,-1.4804999828338623,1.8373533487319946,-3.0299999713897705,1.2799999713897705
39,-2.246499538421631,1.3799638748168945,-3.0999999046325684,1.2799999713897705
40,-2.937000036239624,0.098392054438591,-3.0799999237060547,-2.7200000286102295
41,-2.635999917984009,0.9750712513923645,-3.109999895095825,0.2800000011920929
42,-2.4624998569488525,1.268339991569519,-3.130000114440918,1.3250000476837158
43,-2.2865002155303955,1.3216884136199951,-3.1500000953674316,1.274999976158142
44,-2.2380001544952393,1.4334977865219116,-3.0899999141693115,0.8899999856948853
45,-2.0359997749328613,1.3751977682113647,-3.0,0.8149999976158142
46,-1.7235002517700195,1.4502447843551636,-2.9000000953674316,0.7799999713897705
47,-2.5774998664855957,1.0940595865249634,-3.109999895095825,0.6949999928474426
48,-3.0290000438690186,0.11708541214466095,-3.309999942779541,-2.9100000858306885
49,-2.6414999961853027,0.7040030360221863,-3.140000104904175,-0.5550000071525574
50,-2.3299999237060547,1.211238980293274,-3.009999990463257,0.8199999928474426
51,-2.381999969482422,1.1629341840744019,-3.1600000858306885,2.220446049250313e-16
