episode,mean_reward,std_reward,min_reward,max_reward
1,-3.119999885559082,0.21674874424934387,-3.6500000953674316,-2.7799999713897705
2,-2.8889999389648438,0.13772805035114288,-3.1600000858306885,-2.609999895095825
3,-3.0279996395111084,0.17758379876613617,-3.380000114440918,-2.7100000381469727
4,-2.9140000343322754,0.15869469940662384,-3.2300000190734863,-2.7300000190734863
5,-2.7685000896453857,0.7872739434242249,-3.640000104904175,-0.5350000262260437
6,-2.9549999237060547,0.1267477571964264,-3.0799999237060547,-2.640000104904175
7,-2.921999931335449,0.27326908707618713,-3.5999999046325684,-2.609999895095825
8,-3.0180001258850098,0.16117067635059357,-3.369999885559082,-2.8499999046325684
9,-3.0980000495910645,0.1800999790430069,-3.569999933242798,-2.869999885559082
10,-2.9950003623962402,0.08969392627477646,-3.180000066757202,-2.8499999046325684
11,-2.936000108718872,0.09090656042098999,-3.069999933242798,-2.809999942779541
12,-2.6404998302459717,0.9907483458518982,-3.1600000858306885,0.3149999976158142
13,-2.9040000438690186,0.14974644780158997,-3.2200000286102295,-2.7100000381469727
14,-2.9159998893737793,0.12547506392002106,-3.119999885559082,-2.680000066757202
15,-2.8980000019073486,0.11813550442457199,-3.069999933242798,-2.690000057220459
16,-2.7049996852874756,0.6184860467910767,-3.0899999141693115,-0.8799999952316284
17,-3.072000026702881,0.1348925083875656,-3.369999885559082,-2.9100000858306885
18,-2.9630000591278076,0.20736682415008545,-3.2699999809265137,-2.549999952316284
19,-2.9800002574920654,0.1967231184244156,-3.3399999141693115,-2.75
20,-2.7750000953674316,0.7059921622276306,-3.5299999713897705,-0.7699999809265137
21,-2.626499891281128,0.8772002458572388,-3.0399999618530273,-0.004999999888241291
22,-2.502000093460083,1.3035169839859009,-3.240000009536743,1.3899999856948853
23,-2.555500030517578,1.11273193359375,-3.0899999141693115,0.7549999952316284
24,-3.068000078201294,0.17394253611564636,-3.380000114440918,-2.8299999237060547
25,-2.9699997901916504,0.2824535369873047,-3.680000066757202,-2.6500000953674316
26,-3.0209999084472656,0.23876558244228363,-3.5399999618530273,-2.559999942779541
27,-2.1634998321533203,1.464844822883606,-3.4700000286102295,1.0850000381469727
28,-3.0910000801086426,0.16189193725585938,-3.4800000190734863,-2.930000066757202
29,-2.950000047683716,0.18406520783901215,-3.2899999618530273,-2.6700000762939453
30,-2.6075000762939453,1.1961840391159058,-3.25,0.9549999833106995
31,-2.9740002155303955,0.13639646768569946,-3.2799999713897705,-2.759999990463257
32,-3.054999828338623,0.16942550241947174,-3.25,-2.700000047683716
33,-2.6080002784729004,0.9201064705848694,-3.2300000190734863,0.10999999940395355
34,-2.2760000228881836,1.257499098777771,-3.0399999618530273,0.5799999833106995
35,-2.9609999656677246,0.09170063585042953,-3.130000114440918,-2.7799999713897705
36,-3.007999897003174,0.13666018843650818,-3.25,-2.8499999046325684
37,-2.8219997882843018,0.13511478900909424,-2.9700000286102295,-2.5
38,-2.9620003700256348,0.12335315346717834,-3.140000104904175,-2.75
39,-3.056999921798706,0.1254630982875824,-3.309999942779541,-2.930000066757202
40,-2.9579999446868896,0.17336666584014893,-3.259999990463257,-2.7200000286102295
