episode,reward,epsilon
1,-3.310000000000001,0.5
2,-3.1100000000000003,0.4975
3,-2.890000000000001,0.4950125
4,-3.1300000000000003,0.4925374375
5,-2.9000000000000004,0.49007475031250003
6,-3.0900000000000003,0.48762437656093754
7,0.31000000000000005,0.48518625467813287
8,-3.46,0.4827603234047422
9,-3.25,0.4803465217877185
10,-2.930000000000001,0.47794478917877986
11,-2.920000000000001,0.47555506523288593
12,-3.090000000000001,0.4731772899067215
13,-2.8,0.47081140345718786
14,-3.09,0.46845734643990194
15,-3.65,0.46611505970770245
16,-1.0449999999999997,0.4637844844091639
17,-3.2800000000000016,0.4614655619871181
18,-2.99,0.4591582341771825
19,-2.8900000000000006,0.4568624430062966
20,-3.0500000000000007,0.4545781307912651
21,-2.7400000000000007,0.4523052401373088
22,-2.92,0.45004371393662224
23,-2.8400000000000007,0.44779349536693913
24,-2.920000000000001,0.4455545278901044
25,-2.8800000000000003,0.4433267552506539
26,-2.940000000000001,0.44111012147440065
27,-3.1100000000000008,0.43890457086702866
28,-3.1300000000000012,0.43671004801269353
29,-2.8400000000000007,0.4345264977726301
30,-3.1400000000000015,0.4323538652837669
31,-3.010000000000001,0.4301920959573481
32,-3.0000000000000004,0.42804113547756134
33,-3.0200000000000005,0.4259009298001735
34,-3.120000000000001,0.42377142515117266
35,-2.74,0.4216525680254168
36,-3.069999999999999,0.4195443051852897
37,-2.87,0.4174465836593632
38,-2.9800000000000004,0.4153593507410664
39,-2.8099999999999996,0.4132825539873611
40,-2.910000000000001,0.4112161412174243
41,-3.1300000000000003,0.40916006051133713
42,-2.98,0.40711426020878044
43,-2.9300000000000006,0.4050786889077365
44,-2.98,0.40305329546319785
45,-2.900000000000001,0.40103802898588187
46,-2.8900000000000006,0.3990328388409525
47,-0.5749999999999991,0.3970376746467477
48,-0.8349999999999993,0.39505248627351397
49,-2.8399999999999994,0.3930772238421464
50,-2.75,0.3911118377229357
51,-2.9600000000000013,0.389156278534321
52,-3.000000000000001,0.3872104971416494
53,-3.0000000000000004,0.38527444465594113
54,-2.9699999999999998,0.38334807243266145
55,-2.93,0.3814313320704981
56,-2.7900000000000005,0.3795241754101456
57,-3.1000000000000005,0.37762655453309485
58,-2.9800000000000004,0.3757384217604294
59,-2.7600000000000002,0.3738597296516272
60,-3.1600000000000015,0.3719904310033691
61,-3.0200000000000005,0.37013047884835226
62,-2.950000000000001,0.3682798264541105
63,-2.940000000000001,0.36643842732183995
64,-2.78,0.3646062351852308
65,-3.000000000000001,0.36278320400930464
66,-3.020000000000001,0.3609692879892581
67,-3.040000000000001,0.3591644415493118
68,-2.960000000000001,0.3573686193415653
69,-3.0700000000000007,0.35558177624485743
70,-2.85,0.3538038673636331
71,-2.870000000000001,0.35203484802681495
72,-2.9300000000000006,0.35027467378668087
73,-2.78,0.3485233004177475
74,1.1600000000000001,0.34678068391565875
75,-2.9600000000000004,0.34504678049608045
76,-2.8200000000000003,0.34332154659360004
77,-2.7600000000000002,0.34160493886063203
78,-2.920000000000001,0.3398969141663289
79,-2.8900000000000006,0.33819742959549726
80,-3.0100000000000007,0.33650644244751976
81,-3.6699999999999995,0.3348239102352822
82,-2.9800000000000013,0.3331497906841058
83,0.2699999999999998,0.33148404173068524
84,-2.7800000000000007,0.3298266215220318
85,1.175,0.3281774884144216
86,-2.9000000000000012,0.3265366009723495
87,-2.9500000000000006,0.32490391796748774
88,-3.0200000000000005,0.3232793983776503
89,-3.010000000000001,0.32166300138576204
90,-2.990000000000001,0.3200546863788332
91,-0.2849999999999995,0.31845441294693905
92,-2.980000000000001,0.3168621408822043
93,0.5599999999999999,0.3152778301777933
94,-3.1300000000000003,0.31370144102690434
95,-3.3999999999999995,0.3121329338217698
96,-2.7700000000000005,0.31057226915266095
97,-2.8200000000000003,0.30901940780689763
98,-2.9699999999999998,0.30747431076786313
99,1.0350000000000001,0.3059369392140238
100,-2.9800000000000004,0.3044072545179537
101,-2.8600000000000008,0.3028852182453639
102,-2.980000000000001,0.3013707921541371
103,-2.870000000000001,0.29986393819336643
104,-2.9000000000000004,0.2983646185023996
105,-2.810000000000001,0.2968727954098876
106,-2.8000000000000003,0.29538843143283816
107,-2.9500000000000006,0.29391148927567395
108,-0.4899999999999993,0.29244193182929556
109,-2.8900000000000006,0.2909797221701491
110,-2.8200000000000003,0.28952482355929837
111,-2.7800000000000002,0.2880771994415019
112,-2.8100000000000005,0.28663681344429437
113,-2.8800000000000003,0.2852036293770729
114,-0.25499999999999945,0.2837776112301875
115,-0.38499999999999934,0.2823587231740366
116,-2.950000000000001,0.2809469295581664
117,-2.930000000000001,0.2795421949103756
118,0.18999999999999995,0.2781444839358237
119,-2.890000000000001,0.27675376151614456
120,1.12,0.2753699927085638
121,-2.960000000000001,0.273993142745021
122,-3.040000000000001,0.2726231770312959
123,-0.1499999999999999,0.27126006114613943
124,0.24999999999999978,0.26990376084040874
125,-0.9700000000000004,0.2685542420362067
126,-2.8900000000000006,0.26721147082602564
127,-2.9600000000000013,0.2658754134718955
128,0.2649999999999999,0.26454603640453606
129,-2.7999999999999994,0.2632233062225134
130,-0.9249999999999998,0.2619071896914008
131,1.445,0.2605976537429438
132,-2.9300000000000006,0.2592946654742291
133,0.5599999999999999,0.25799819214685793
134,-2.880000000000001,0.25670820118612364
